"","HDI","life_exp","exp_education","gni_minus_hdi","maternal_mortality_rat","adolescent_birth_rat","female_parliament","sec_ed_rat","lfpr_ratio"
"Norway",0.944,81.6,17.5,5,4,7.8,39.6,1.00723888314374,0.890829694323144
"Australia",0.935,82.4,20.2,17,6,12.1,30.5,0.996828752642706,0.818941504178273
"Switzerland",0.93,83,15.8,6,6,1.9,28.5,0.98343685300207,0.825100133511348
"Denmark",0.923,80.2,18.7,11,5,5.1,38,0.988612836438924,0.884036144578313
"Netherlands",0.922,81.6,17.9,9,6,6.2,36.9,0.969060773480663,0.828611898016997
"Germany",0.916,80.9,16.5,11,7,3.8,36.9,0.992783505154639,0.807228915662651
"Ireland",0.916,80.9,18.6,16,9,8.2,19.9,1.02417302798982,0.779735682819383
"United States",0.915,79.1,16.5,3,28,31,19.4,1.00316455696203,0.817126269956459
"Canada",0.913,82,15.9,11,11,14.5,28.2,1,0.867605633802817
"New Zealand",0.913,81.8,19.2,23,8,25.3,31.4,0.99685204616999,0.840108401084011
"Singapore",0.912,83,15.4,-7,6,6,25.3,0.914814814814815,0.761658031088083
"Hong Kong, China (SAR)",0.91,84,15.6,-2,NA,3.3,NA,0.911616161616162,0.756637168141593
"Liechtenstein",0.908,80,15,-10,NA,NA,20,NA,NA
"Sweden",0.907,82.2,15.8,-1,4,6.5,43.6,0.990836197021764,0.888070692194403
"United Kingdom",0.907,80.7,16.2,9,8,25.8,23.5,0.998998998998999,0.810771470160116
"Iceland",0.899,82.6,19,12,4,11.5,41.3,0.993449781659389,0.910852713178295
"Korea (Republic of)",0.898,81.9,16.9,13,27,2.2,16.3,0.864197530864198,0.694868238557559
"Israel",0.894,82.4,16,16,2,7.8,22.5,0.966781214203895,0.837916063675832
"Luxembourg",0.892,81.7,13.9,-11,11,8.3,28.3,1,0.784829721362229
"Japan",0.891,83.5,15.3,7,6,5.4,11.6,1.01398601398601,0.693181818181818
"Belgium",0.89,80.8,16.3,0,6,6.7,42.4,0.934861278648975,0.801011804384486
"France",0.888,82.2,16,4,12,5.7,25.7,0.9375,0.823051948051948
"Austria",0.885,81.4,15.7,-5,4,4.1,30.3,1,0.806499261447563
"Finland",0.883,80.8,17.1,0,4,9.2,42.5,1,0.8703125
"Slovenia",0.88,80.4,16.8,12,7,0.6,27.7,0.977551020408163,0.82753164556962
"Spain",0.876,82.6,17.3,7,4,10.6,38,0.913816689466484,0.797872340425532
"Italy",0.873,83.1,16,4,4,4,30.1,0.884472049689441,0.665546218487395
"Czech Republic",0.87,78.6,16.4,10,5,4.9,18.9,1.00200601805416,0.748169838945827
"Greece",0.865,80.9,17.6,14,5,11.9,21,0.888059701492537,0.7072
"Estonia",0.861,76.8,16.5,12,11,16.8,19.8,1,0.815674891146589
"Brunei Darussalam",0.856,78.8,14.5,-26,27,23,NA,0.942477876106195,0.698539176626826
"Cyprus",0.85,80.2,14,3,10,5.5,12.5,0.930232558139535,0.787623066104079
"Qatar",0.85,78.2,13.8,-31,6,9.5,0,1.13050847457627,0.531937172774869
"Andorra",0.845,81.3,13.5,-18,NA,NA,50,1.00405679513185,NA
"Slovakia",0.844,76.3,15.1,5,7,15.9,18.7,0.995979899497487,0.744897959183674
"Poland",0.843,77.4,15.5,10,3,12.2,22.1,0.928654970760234,0.75346687211094
"Lithuania",0.839,73.3,16.4,7,11,10.6,23.4,0.944856839872746,0.829123328380386
"Malta",0.839,80.6,14.4,-1,9,18.2,13,0.877237851662404,0.571644042232277
"Saudi Arabia",0.837,74.3,16.3,-27,16,10.2,19.9,0.860597439544808,0.257982120051086
"Argentina",0.836,76.3,17.9,11,69,54.4,36.8,0.977430555555555,0.633333333333333
"United Arab Emirates",0.835,77,13.3,-34,8,27.6,17.5,1.19444444444444,0.505434782608696
"Chile",0.832,81.7,15.2,11,22,55.3,15.8,0.959424083769633,0.657754010695187
"Portugal",0.83,80.9,16.3,-2,8,12.6,31.3,0.989626556016598,0.829305135951662
"Hungary",0.828,75.2,15.4,3,14,12.1,10.1,0.991894630192503,0.746666666666667
"Bahrain",0.824,76.6,14.4,-20,22,13.8,15,1.10311284046693,0.451093210586881
"Latvia",0.819,74.2,15.2,4,13,13.5,18,0.998989898989899,0.812130177514793
"Croatia",0.818,77.3,14.8,11,13,12.7,25.8,0.908119658119658,0.76541095890411
"Kuwait",0.816,74.4,14.7,-46,14,14.5,1.5,0.987566607460036,0.524669073405536
"Montenegro",0.802,76.2,15.2,27,7,15.2,17.3,0.889123548046463,0.75043630017452
"Belarus",0.798,71.3,15.7,14,1,20.6,30.1,0.943600867678959,0.793977812995246
"Russian Federation",0.798,70.1,14.7,-1,24,25.7,14.5,0.968648648648649,0.796373779637378
"Oman",0.793,76.8,13.6,-23,11,10.6,9.6,0.82661996497373,0.351089588377724
"Romania",0.793,74.7,14.2,10,33,31,12,0.935869565217391,0.750385208012327
"Uruguay",0.793,77.2,15.5,7,14,58.3,11.5,1.08151093439364,0.723958333333333
"Bahamas",0.79,75.4,12.6,-3,37,28.5,16.7,1.04109589041096,0.873896595208071
"Kazakhstan",0.788,69.4,15,-1,26,29.9,20.1,0.964574898785425,0.869062901155327
"Barbados",0.785,75.6,15.4,27,52,48.4,19.6,1.02052451539339,0.860313315926893
"Antigua and Barbuda",0.783,76.1,14,-1,NA,49.3,25.7,NA,NA
"Bulgaria",0.782,74.2,14.4,13,5,35.9,20.4,0.971786833855799,0.811864406779661
"Palau",0.78,72.7,13.7,18,NA,NA,10.3,NA,NA
"Panama",0.78,77.6,13.3,1,85,78.5,19.3,1.08216432865731,0.599022004889976
"Malaysia",0.779,74.7,12.7,-14,29,5.7,14.2,0.91304347826087,0.588079470198675
"Mauritius",0.777,74.4,15.6,0,73,30.9,11.6,0.851724137931034,0.587601078167116
"Seychelles",0.772,73.1,13.4,-19,NA,56.3,43.8,1.0045045045045,NA
"Trinidad and Tobago",0.772,70.4,12.3,-25,84,34.8,24.7,0.980295566502463,0.701986754966887
"Serbia",0.771,74.9,14.4,20,16,16.9,34,0.793478260869565,0.730706075533662
"Cuba",0.769,79.4,13.8,47,80,43.1,48.9,0.942893401015228,0.62
"Lebanon",0.769,79.3,13.8,-1,16,12,3.1,0.956678700361011,0.328631875881523
"Costa Rica",0.766,79.4,13.9,10,38,60.8,33.3,1.0039603960396,0.589873417721519
"Iran (Islamic Republic of)",0.766,75.4,15.1,4,23,31.6,3.1,0.920118343195266,0.22554347826087
"Venezuela (Bolivarian Republic of)",0.762,74.2,14.2,-2,110,83.2,17,1.11417322834646,0.64520202020202
"Turkey",0.761,75.3,14.5,-12,20,30.9,14.4,0.65,0.415254237288136
"Sri Lanka",0.757,74.9,13.7,29,29,16.9,5.8,0.951570680628272,0.46002621231979
"Mexico",0.756,76.8,13.1,-4,49,63.4,37.1,0.919141914191419,0.564455569461827
"Brazil",0.755,74.5,15.2,-1,69,70.8,9.6,1.04198473282443,0.735148514851485
"Georgia",0.754,74.9,13.8,40,41,46.8,11.3,0.967637540453074,0.752330226364847
"Saint Kitts and Nevis",0.752,73.8,12.9,-21,NA,NA,6.7,NA,NA
"Azerbaijan",0.751,70.8,11.9,-11,26,40,15.6,0.962012320328542,0.903735632183908
"Grenada",0.75,73.4,15.8,14,23,35.4,25,NA,NA
"Jordan",0.748,74,13.5,11,50,26.5,11.6,0.885350318471338,0.234234234234234
"The former Yugoslav Republic of Macedonia",0.747,75.4,13.4,9,7,18.3,33.3,0.723021582733813,0.638518518518518
"Ukraine",0.747,71,15.1,25,23,25.7,11.8,0.956204379562044,0.795216741405082
"Algeria",0.736,74.8,14,-1,89,10,25.7,0.861290322580645,0.210526315789474
"Peru",0.734,74.6,13.1,8,89,50.7,22.3,0.851739788199697,0.808056872037915
"Albania",0.733,77.8,11.8,14,21,15.3,20.7,0.930602957906712,0.685496183206107
"Armenia",0.733,74.7,12.3,22,29,27.1,10.7,0.989473684210526,0.746556473829201
"Bosnia and Herzegovina",0.733,76.5,13.6,19,8,15.1,19.3,0.643266475644699,0.595113438045375
"Ecuador",0.732,75.9,14.2,7,87,77,41.6,1.01776649746193,0.66142684401451
"Saint Lucia",0.729,75.1,12.6,14,34,56.3,20.7,NA,0.822834645669291
"China",0.727,75.8,13.1,-7,32,8.6,23.6,0.816411682892907,0.816091954022989
"Fiji",0.727,70,15.7,21,59,42.8,14,0.995348837209302,0.520833333333333
"Mongolia",0.727,69.4,14.6,4,68,18.7,14.9,1.01426872770511,0.816738816738817
"Thailand",0.726,74.4,13.5,-13,26,41,6.1,0.875,0.796778190830235
"Dominica",0.724,77.8,12.7,4,NA,NA,21.9,1.2801724137931,NA
"Libya",0.724,71.6,14,-19,15,2.5,16,1.32458233890215,0.392670157068063
"Tunisia",0.721,74.8,14.6,1,46,4.6,31.3,0.711496746203904,0.354019746121298
"Colombia",0.72,74,13.5,-9,83,68.5,20.9,1.02338129496403,0.700125470514429
"Saint Vincent and the Grenadines",0.72,72.9,13.4,3,45,54.5,13,NA,0.714102564102564
"Jamaica",0.719,75.7,12.4,13,80,70.1,16.7,1.05413105413105,0.791255289139633
"Tonga",0.717,72.8,14.7,32,120,18.1,0,0.990939977349943,0.7171581769437
"Belize",0.715,70,13.6,9,45,71.4,13.3,1.00791556728232,0.597812879708384
"Dominican Republic",0.715,73.5,13.1,-12,100,99.6,19.1,1.04708097928437,0.652671755725191
"Suriname",0.714,71.1,12.7,-32,130,35.2,11.8,0.94692144373673,0.588662790697674
"Maldives",0.706,76.8,13,-19,31,4.2,5.9,0.834862385321101,0.725161290322581
"Samoa",0.702,73.4,12.9,24,58,28.3,6.1,1.07166666666667,0.402397260273973
"Botswana",0.698,64.5,12.5,-41,170,44.2,9.5,0.944801026957638,0.881127450980392
"Moldova (Republic of)",0.693,71.6,11.9,23,21,29.3,20.8,0.968944099378882,0.850678733031674
"Egypt",0.69,71.1,13.5,-12,45,43,2.2,0.724422442244224,0.316844919786096
"Turkmenistan",0.688,65.6,10.8,-28,61,18,25.8,NA,0.609882964889467
"Gabon",0.684,64.4,12.5,-42,240,103,16.2,1.49307479224377,0.859327217125382
"Indonesia",0.684,68.9,13,-9,190,48.3,17.1,0.810975609756098,0.610451306413302
"Paraguay",0.679,72.9,11.9,-3,110,67,16.8,0.855813953488372,0.65683962264151
"Palestine, State of",0.677,72.9,13,21,NA,45.8,NA,0.907407407407407,0.231927710843373
"Uzbekistan",0.675,68.4,11.5,10,36,38.8,16.4,NA,0.636243386243386
"Philippines",0.668,68.2,11.3,-7,120,46.8,27.1,1.03453689167975,0.641154328732748
"El Salvador",0.666,73,12.3,-3,69,76,27.4,0.844036697247706,0.605063291139241
"South Africa",0.666,57.4,13.6,-29,140,50.9,40.7,0.957839262187088,0.735537190082645
"Viet Nam",0.666,75.8,11.9,15,49,29,24.3,0.834269662921348,0.888077858880779
"Bolivia (Plurinational State of)",0.662,68.3,13.2,4,200,71.9,51.8,0.805414551607445,0.793572311495674
"Kyrgyzstan",0.655,70.6,12.5,29,75,29.3,23.3,0.976239669421488,0.70440251572327
"Iraq",0.654,69.4,10.1,-44,67,68.7,26.5,0.553784860557769,0.213467048710602
"Cabo Verde",0.646,73.3,13.5,-1,53,70.6,20.8,NA,0.615292712066906
"Micronesia (Federated States of)",0.64,69.1,11.7,21,96,18.6,0,NA,NA
"Guyana",0.636,66.4,10.3,-4,250,88.5,31.3,1.26150627615063,0.529192546583851
"Nicaragua",0.631,74.9,11.5,12,100,100.8,39.1,1.02872062663185,0.590286425902864
"Morocco",0.628,74,11.6,-8,120,35.8,11,0.685430463576159,0.349604221635884
"Namibia",0.628,64.8,11.3,-21,130,54.9,37.7,0.968023255813953,0.858712715855573
"Guatemala",0.627,71.8,10.7,-11,140,97.2,13.3,0.943965517241379,0.558956916099773
"Tajikistan",0.624,69.4,11.2,27,44,42.8,15.2,1.04276315789474,0.763942931258106
"India",0.609,68,11.7,-4,190,32.8,12.2,0.477031802120141,0.337922403003755
"Honduras",0.606,73.1,11.1,7,120,84,25.8,1.08527131782946,0.516284680337756
"Bhutan",0.605,69.5,12.6,-17,120,40.9,8.3,0.985507246376812,0.863989637305699
"Timor-Leste",0.595,68.2,11.7,-6,270,52.2,38.5,NA,0.484251968503937
"Syrian Arab Republic",0.594,69.6,12.3,21,49,41.6,12.4,0.728395061728395,0.185694635488308
"Vanuatu",0.594,71.9,10.6,19,86,44.8,0,NA,0.76875
"Congo",0.591,62.3,11.1,-14,410,126.7,11.5,0.84468085106383,0.938356164383562
"Kiribati",0.59,66,12.3,21,130,16.6,8.7,NA,NA
"Equatorial Guinea",0.587,57.6,9,-84,290,112.6,19.7,NA,0.87527114967462
"Zambia",0.586,60.1,13.5,2,280,125.4,12.7,0.586363636363636,0.853971962616822
"Ghana",0.579,61.4,11.5,-1,380,58.4,10.9,0.698608964451314,0.942577030812325
"Lao People's Democratic Republic",0.575,66.2,10.6,-6,NA,65,25,0.618918918918919,0.964601769911504
"Bangladesh",0.57,71.6,10,5,170,80.6,20,0.825665859564165,0.682520808561237
"Cambodia",0.555,68.4,10.9,7,170,44.3,19,0.432314410480349,0.910982658959538
"Sao Tome and Principe",0.555,66.5,11.3,8,210,65.1,18.2,NA,0.582262210796915
"Kenya",0.548,61.6,11,9,400,93.6,20.8,0.805732484076433,0.859116022099447
"Nepal",0.548,69.6,12.4,16,190,73.7,29.5,0.463350785340314,0.917336394948335
"Pakistan",0.538,66.2,7.8,-14,170,27.3,19.7,0.418655097613883,0.296743063932449
"Myanmar",0.536,65.9,8.6,-12,200,12.1,4.7,1.49673202614379,0.913730255164034
"Angola",0.532,52.3,11.4,-30,460,170.2,36.8,NA,0.823146944083225
"Swaziland",0.531,49,11.3,-25,310,72,14.7,0.842307692307692,0.613128491620112
"Tanzania (United Republic of)",0.521,65,9.2,8,410,122.7,36,0.589473684210526,0.976718403547672
"Nigeria",0.514,52.8,9,-24,560,119.6,6.6,NA,0.756671899529042
"Cameroon",0.512,55.5,10.4,-1,590,115.8,27.1,0.610315186246418,0.830729166666667
"Madagascar",0.51,65.1,10.3,24,440,122.8,20.5,NA,0.956906077348066
"Zimbabwe",0.509,57.5,10.9,13,470,60.3,35.1,0.785483870967742,0.927536231884058
"Mauritania",0.506,63.1,8.5,-14,320,73.3,22.2,0.397129186602871,0.36283185840708
"Solomon Islands",0.506,67.9,9.2,16,130,64.9,2,NA,0.675949367088608
"Papua New Guinea",0.505,62.6,9.9,-1,220,62.1,2.7,0.524137931034483,0.952702702702703
"Comoros",0.503,63.3,11.5,16,350,51.1,3,NA,0.439450686641698
"Yemen",0.498,63.8,9.2,-17,270,47,0.7,0.322097378277154,0.35180055401662
"Lesotho",0.497,49.8,11.1,-16,490,89.4,26.8,1.15263157894737,0.802721088435374
"Togo",0.484,59.7,12.2,17,450,91.5,17.6,0.399503722084367,0.991389913899139
"Haiti",0.483,62.8,8.7,4,380,42,3.5,0.636363636363636,0.857746478873239
"Rwanda",0.483,64.2,10.3,11,320,33.6,57.5,0.909090909090909,1.01289566236811
"Uganda",0.483,58.5,9.8,6,360,126.6,35,0.683582089552239,0.957070707070707
"Benin",0.48,59.6,11.1,0,340,90.2,8.4,0.418518518518519,0.863346104725415
"Sudan",0.479,63.5,7,-27,360,84,23.8,0.664835164835165,0.411842105263158
"Djibouti",0.47,62,6.4,-22,230,18.6,12.7,NA,0.536189069423929
"South Sudan",0.467,55.7,7.6,-9,730,75.3,24.3,NA,NA
"Senegal",0.466,66.5,7.9,-8,320,94.4,42.7,0.467532467532468,0.75
"Afghanistan",0.465,60.4,9.3,-7,400,86.8,27.6,0.197986577181208,0.19874213836478
"C̫te d'Ivoire",0.462,51.5,8.9,-24,720,130.3,9.2,0.465116279069767,0.643734643734644
"Malawi",0.445,62.8,10.8,13,510,144.8,16.7,0.513888888888889,1.03803680981595
"Ethiopia",0.442,64.1,8.5,2,420,78.4,25.5,0.428571428571429,0.875699888017917
"Gambia",0.441,60.2,8.8,-2,430,115.8,9.4,0.552380952380952,0.870928829915561
"Congo (Democratic Republic of the)",0.433,58.7,9.8,11,730,135.3,8.2,0.395061728395062,0.965846994535519
"Liberia",0.43,60.9,9.5,7,640,117.4,10.7,0.391857506361323,0.898148148148148
"Guinea-Bissau",0.42,55.2,9,-1,560,99.3,13.7,NA,0.868789808917197
"Mali",0.419,58,8.4,-8,550,175.6,9.5,0.509933774834437,0.624078624078624
"Mozambique",0.416,55.1,9.3,1,480,137.8,39.6,0.225806451612903,1.03260869565217
"Sierra Leone",0.413,50.9,8.6,-16,1100,100.7,12.4,0.460829493087558,0.952173913043478
"Guinea",0.411,58.8,8.7,0,650,131,21.9,NA,0.837803320561941
"Burkina Faso",0.402,58.7,7.8,-13,400,115.4,13.3,0.28125,0.856666666666667
"Burundi",0.4,56.7,10.1,1,740,30.3,34.9,0.63855421686747,1.01585365853659
"Chad",0.392,51.6,7.4,-22,980,152,14.9,0.171717171717172,0.808080808080808
"Eritrea",0.391,63.7,4.1,-6,380,65.3,22,NA,0.89086859688196
"Central African Republic",0.35,50.7,7.2,1,880,98.3,12.5,0.378277153558052,0.853113983548766
"Niger",0.348,61.4,5.4,-5,630,204.8,13.3,0.307692307692308,0.445930880713489
